measurement_pk,condition_pk,condition_label,setup_date,experiment_location
TRAMEA000301,TRACON000002,maintenance,,
TRAMEA000302,TRACON000001,test,,
TRAMEA000302,TRACON000002,maintenance,,
TRAMEA000303,TRACON000001,test,,
TRAMEA000303,TRACON000002,maintenance,,
TRAMEA000304,TRACON000001,test,,
TRAMEA000304,TRACON000002,maintenance,,
TRAMEA000305,TRACON000001,test,,
TRAMEA000305,TRACON000002,maintenance,,
TRAMEA000306,TRACON000001,test,,
TRAMEA000306,TRACON000002,maintenance,,
TRAMEA000307,TRACON000001,test,,
TRAMEA000307,TRACON000002,maintenance,,
TRAMEA000308,TRACON000001,test,,
TRAMEA000308,TRACON000002,maintenance,,
TRAMEA000309,TRACON000001,test,,
TRAMEA000309,TRACON000002,maintenance,,
TRAMEA000310,TRACON000001,test,,
TRAMEA000310,TRACON000002,maintenance,,
TRAMEA000311,TRACON000001,test,,
TRAMEA000311,TRACON000002,maintenance,,
TRAMEA000312,TRACON000001,test,,
TRAMEA000312,TRACON000002,maintenance,,
TRAMEA000313,TRACON000001,test,,
TRAMEA000313,TRACON000002,maintenance,,
TRAMEA000314,TRACON000001,test,,
TRAMEA000314,TRACON000002,maintenance,,
TRAMEA000315,TRACON000001,test,,
TRAMEA000315,TRACON000002,maintenance,,
TRAMEA000316,TRACON000001,test,,
TRAMEA000316,TRACON000002,maintenance,,
TRAMEA000317,TRACON000001,test,,
TRAMEA000317,TRACON000002,maintenance,,
TRAMEA000318,TRACON000001,test,,
TRAMEA000318,TRACON000002,maintenance,,
TRAMEA000319,TRACON000001,test,,
TRAMEA000319,TRACON000002,maintenance,,
TRAMEA000320,TRACON000001,test,,
TRAMEA000320,TRACON000002,maintenance,,
TRAMEA000321,TRACON000001,test,,
TRAMEA000321,TRACON000002,maintenance,,
TRAMEA000322,TRACON000001,test,,
